site,site_name,Sample_id,depth_category,starting_weight,digested_weight,tin_weight,sample_weight,tray_number,C_percent,N_percent,Del_C,Del_N,mg Carbon,tray_number,type,site_type
WORF,WORF_01,WORF_01E,E,,,34.636,8.323,c10,1.7,0.1,-26.8,0.3,0.1415,1,raw,hillslope mineral soil
WORF,WORF_01,WORF_01F,F,,,34.817,8.402,d10,1.4,0.1,-25.4,1.6,0.1176,1,raw,hillslope mineral soil
WORF,WORF_01,WORF_01G,G,,,34.723,8.881,e10,1.6,0.1,-26,0.9,0.1377,1,raw,hillslope mineral soil
,,blank,,,,30.179,1,a11,0.3,0.1,-29.2,-55.4,0.0032,1,std,
,,standard_1,,,,31.458,0.299,b11,2,0.5,-29.9,-22,0.006,1,std,
,,standard_2,,,,31.467,0.522,c11,1.7,0.2,-22,-14.9,0.0088,1,std,
,,standard_3,,,,30.582,1.276,d11,1.7,0.2,-24.8,-9.5,0.0217,1,std,
,,standard_4,,,,32.142,2.693,e11,1.2,0.1,-21.7,-3.7,0.0312,1,std,
,,QC_1,,,,31.962,8.361,f11,1.1,0.1,-21.8,1.9,0.0911,1,std,
,,QC_2,,,,30.817,8.963,g11,1.1,0.1,-21.9,1.4,0.0968,1,std,
,,QC_3,,,,30.278,8.639,h11,1.1,0.1,-21.2,1.5,0.0942,1,std,
,,QC_04,,,,30.331,8.143,a12,1.1,0.1,-21.5,1.3,0.0904,1,std,
,,QC_05,,,,31.265,8.282,b12,1.1,0.1,-21.7,0.8,0.0894,1,std,
,,QC_06,,,,31.158,8.87,c12,1.1,0.1,-21.5,2.1,0.0958,1,std,
,,QC_07,,,,30.402,8.443,d12,1.1,0.1,-21.5,2.5,0.0912,1,std,
,,QC_08,,,,31.24,8.982,e12,1.1,0.1,-21.5,1.5,0.0961,1,std,
,,QC_09,,,,30.296,8.65,f12,1.1,0.1,-21.8,1.5,0.0926,1,std,
,,QC_10,,,,31.723,8.964,g12,1.1,0.1,-21.5,2.1,0.0977,1,std,
,,QC_11,,,,30.349,8.397,h12,1.1,0.1,-21.9,2.3,0.0907,1,std,
RIDG,RIDG_02,RIDG_02A_kmd,A,1.0492,0.6376,34.13,8.204,e4,2.84,,,,,2,kmd,ridgetop mineral soil
RIDG,RIDG_02,RIDG_02B_kmd,B,1.0268,0.8787,33.938,8.536,f4,0.41,,,,,2,kmd,ridgetop mineral soil
RIDG,RIDG_02,RIDG_02C_kmd,C,1.0297,0.7821,33.928,8.109,g4,0.57,,,,,2,kmd,ridgetop mineral soil
RIDG,RIDG_02,RIDG_02D_kmd,D,0.9628,0.8368,34.765,8.732,h4,0.3,,,,,2,kmd,ridgetop mineral soil
RIDG,RIDG_02,RIDG_02E_kmd,E,1.0028,0.8452,34.577,8.694,a5,0.31,,,,,2,kmd,ridgetop mineral soil
RIDG,RIDG_02,RIDG_02F_kmd,F,0.9883,0.8875,34.734,8.246,b5,0.2,,,,,2,kmd,ridgetop mineral soil
RIDG,RIDG_02,RIDG_02G_kmd,G,0.9751,0.8112,34.089,8.582,c5,0.39,,,,,2,kmd,ridgetop mineral soil
SALM,SALM_02,SALM_02A,A,,,34.317,8.975,a1,12.15,,,,,2,raw,hillslope mineral soil
SALM,SALM_02,SALM_02B,B,,,34.919,8.083,b1,7.65,,,,,2,raw,hillslope mineral soil
SALM,SALM_02,SALM_02C,C,,,34.191,8.552,c1,4.6,,,,,2,raw,hillslope mineral soil
SALM,SALM_02,SALM_02D,D,,,34.547,8.206,d1,3.5,,,,,2,raw,hillslope mineral soil
SALM,SALM_02,SALM_02E,E,,,34.565,8.354,e1,2.29,,,,,2,raw,hillslope mineral soil
SALM,SALM_02,SALM_02F,F,,,33.851,8.622,f1,1.6,,,,,2,raw,hillslope mineral soil
SALM,SALM_02,SALM_02G,G,,,34.58,8.079,g1,1.17,,,,,2,raw,hillslope mineral soil
RIDG,RIDG_02,RIDG_02A,A,,,33.739,8.155,h1,11.52,,,,,2,raw,ridgetop mineral soil
RIDG,RIDG_02,RIDG_02B,B,,,33.207,8.514,a2,3.46,,,,,2,raw,ridgetop mineral soil
RIDG,RIDG_02,RIDG_02C,C,,,34.962,8.702,b2,2.05,,,,,2,raw,ridgetop mineral soil
RIDG,RIDG_02,RIDG_02D,D,,,34.177,8.465,c2,1.65,,,,,2,raw,ridgetop mineral soil
RIDG,RIDG_02,RIDG_02E,E,,,33.603,8.204,d2,1.71,,,,,2,raw,ridgetop mineral soil
RIDG,RIDG_02,RIDG_02F,F,,,34.39,8.985,e2,0.64,,,,,2,raw,ridgetop mineral soil
RIDG,RIDG_02,RIDG_02G,G,,,35.131,8.756,f2,2.89,,,,,2,raw,ridgetop mineral soil
